D W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
K L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
K R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
K W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
G L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
G R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
G W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
F L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
F R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
TH R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
TH W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
SH R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
M Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
B Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
P Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
V Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
F Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
K Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
HH Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S P L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S P R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S P Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S T R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S K L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S K R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S K Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S K W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
